Connection No,Reading,Date,Consumption,Bill,Members,,,
HOUSE_1,232,1/23/2016,127,2382.05,4,,,
HOUSE_1,249,2/20/2016,126,2134.9,4,,,
HOUSE_1,262,3/22/2016,187,4078.4,4,,,
HOUSE_1,278,4/30/2016,126,2200.96,4,,,
HOUSE_1,292,5/27/2016,127,2382.05,4,,,
HOUSE_1,298,6/21/2016,174,3886.05,4,,,
HOUSE_1,319,7/20/2016,173,3854.05,4,,,
HOUSE_1,352,8/19/2016,136,2446.4,4,,,
HOUSE_1,382,9/16/2016,176,4036.05,4,,,
HOUSE_1,401,10/14/2016,181,4261.05,4,,,
HOUSE_1,426,11/11/2016,203,4945.95,4,,,
HOUSE_1,456,12/13/2016,206,4928.4,4,,,
HOUSE_1,472,1/20/2017,224,6043.5,4,,,
HOUSE_1,472,2/19/2017,216,5683.5,4,,,
HOUSE_1,25,3/19/2017,215,5333.67,4,,,
HOUSE_1,51,4/13/2017,212,5860.6,4,,,
HOUSE_1,80,5/15/2017,227,6331.5,4,,,
HOUSE_1,100,6/17/2017,276,7925.85,4,,,
HOUSE_1,126,7/17/2017,241,6955.41,4,,,
HOUSE_1,132,8/15/2017,214,5898.6,4,,,
HOUSE_1,134,9/11/2017,234,6340.95,4,,,
HOUSE_1,134,10/12/2017,274,7378.4,4,,,
HOUSE_1,136,11/10/2017,151,3299.15,4,,,
HOUSE_1,151,12/9/2017,198,5026.05,4,,,
HOUSE_1,158,1/7/2018,202,4900.95,4,,,
HOUSE_1,172,2/10/2018,206,5386.05,4,,,
HOUSE_1,186,3/9/2018,205,5341.05,4,,,
HOUSE_1,207,4/11/2018,251,7029.68,4,,,
HOUSE_1,227,5/11/2018,307,9168.3,4,,,
HOUSE_1,243,6/12/2018,177,4538.7,4,,,
HOUSE_1,277,7/9/2018,250,6755.85,4,,,
HOUSE_1,277,8/6/2018,228,6223.5,4,,,
HOUSE_1,290,9/8/2018,175,4601.25,4,,,
HOUSE_1,321,10/5/2018,256,6873.3,4,,,
HOUSE_1,346,11/10/2018,240,7068.6,4,,,
HOUSE_1,362,12/10/2018,274,7378.4,4,,,
HOUSE_1,379,1/7/2019,123,2179.5,4,,,
HOUSE_1,396,2/9/2019,169,3129.65,4,,,
HOUSE_1,416,3/10/2019,131,2584.6,4,,,
HOUSE_1,433,4/8/2019,165,3448.95,4,,,
HOUSE_1,464,5/11/2019,169,3427.85,4,,,
HOUSE_1,503,6/16/2019,182,3769.3,4,,,
HOUSE_1,541,7/13/2019,342,11506.05,4,,,
HOUSE_1,577,8/9/2019,226,5828.4,4,,,
HOUSE_1,611,9/8/2019,168,4133.7,4,,,
HOUSE_1,656,10/12/2019,160,3512.6,4,,,
HOUSE_1,696,11/11/2019,239,6260.85,4,,,
HOUSE_1,739,12/15/2019,307,9168.3,4,,,
HOUSE_2,8,1/29/2016,98,1530.55,3,,,
HOUSE_2,8,2/27/2016,118,2028,3,,,
HOUSE_2,8,4/3/2016,130,2328.95,3,,,
HOUSE_2,56,5/7/2016,128,2200.95,3,,,
HOUSE_2,73,6/1/2016,146,2915.5,3,,,
HOUSE_2,86,7/1/2016,142,2712.95,3,,,
HOUSE_2,102,7/29/2016,163,3459.5,3,,,
HOUSE_2,116,8/28/2016,165,3523.5,3,,,
HOUSE_2,136,9/22/2016,163,3310.4,3,,,
HOUSE_2,157,10/20/2016,148,2979.5,3,,,
HOUSE_2,184,11/21/2016,138,2808.6,3,,,
HOUSE_2,204,12/23/2016,145,2659.88,3,,,
HOUSE_2,216,1/28/2017,80,769.6,3,,,
HOUSE_2,226,2/27/2017,97,1445.25,3,,,
HOUSE_2,230,3/26/2017,140,2350.75,3,,,
HOUSE_2,230,4/27/2017,96,1475.05,3,,,
HOUSE_2,230,5/27/2017,99,1500.75,3,,,
HOUSE_2,295,6/26/2017,127,2162.65,3,,,
HOUSE_2,313,7/28/2017,72,1269.45,3,,,
HOUSE_2,330,8/25/2017,131,2216.1,3,,,
HOUSE_2,347,9/21/2017,137,1922.2,3,,,
HOUSE_2,391,10/20/2017,99,1500.75,3,,,
HOUSE_2,421,11/19/2017,93,1449.35,3,,,
HOUSE_2,445,12/18/2017,115,1887.2,3,,,
HOUSE_2,475,1/13/2018,204,3355.05,3,,,
HOUSE_2,508,2/14/2018,134,2069.15,3,,,
HOUSE_2,536,3/18/2018,124,2079.45,3,,,
HOUSE_2,572,4/21/2018,133,2098.95,3,,,
HOUSE_2,587,5/24/2018,121,1996.15,3,,,
HOUSE_2,600,6/19/2018,110,1690.9,3,,,
HOUSE_2,614,7/16/2018,70,665.3,3,,,
HOUSE_2,637,8/16/2018,101,1441.15,3,,,
HOUSE_2,652,9/19/2018,151,2702.75,3,,,
HOUSE_2,670,10/19/2018,80,769.6,3,,,
HOUSE_2,692,11/19/2018,125,2318.05,3,,,
HOUSE_2,708,12/20/2018,235,6385.95,3,,,
HOUSE_2,722,1/16/2019,212,5860.6,3,,,
HOUSE_2,743,2/20/2019,325,9633.2,3,,,
HOUSE_2,761,3/21/2019,241,6955.41,3,,,
HOUSE_2,779,4/24/2019,237,7032.38,3,,,
HOUSE_2,796,5/20/2019,270,7808.4,3,,,
HOUSE_2,820,6/24/2019,225,6241.05,3,,,
HOUSE_2,836,7/22/2019,267,7368.3,3,,,
HOUSE_2,853,8/19/2019,224,6348.6,3,,,
HOUSE_2,881,9/19/2019,240,6763.5,3,,,
HOUSE_2,910,10/20/2019,236,6278.4,3,,,
HOUSE_2,924,11/20/2019,222,5953.5,3,,,
HOUSE_2,949,12/21/2019,273,7790.85,3,,,
HOUSE_3,876,1/30/2016,187,4836.15,3,,,
HOUSE_3,877,2/27/2016,252,7303.5,3,,,
HOUSE_3,880,4/3/2016,197,5896.36,3,,,
HOUSE_3,886,5/7/2016,247,6773.4,3,,,
HOUSE_3,894,6/1/2016,279,8213.4,3,,,
HOUSE_3,913,7/1/2016,253,7348.5,3,,,
HOUSE_3,929,7/29/2016,261,7708.5,3,,,
HOUSE_3,937,8/28/2016,248,7581.15,3,,,
HOUSE_3,944,9/22/2016,286,8986.05,3,,,
HOUSE_3,951,10/20/2016,251,7105.95,3,,,
HOUSE_3,960,11/21/2016,245,7293.6,3,,,
HOUSE_3,968,12/23/2016,236,6126.85,3,,,
HOUSE_3,981,1/28/2017,179,4323.6,3,,,
HOUSE_3,992,2/27/2017,200,4810.95,3,,,
HOUSE_3,1010,3/26/2017,192,4450.95,3,,,
HOUSE_3,1041,4/27/2017,220,5558.4,3,,,
HOUSE_3,1063,5/27/2017,188,4728.6,3,,,
HOUSE_3,1085,6/26/2017,212,4853.3,3,,,
HOUSE_3,1118,7/28/2017,192,4450.95,3,,,
HOUSE_3,1151,8/25/2017,193,4455.45,3,,,
HOUSE_3,1191,9/21/2017,203,4945.95,3,,,
HOUSE_3,1224,10/20/2017,201,5161.05,3,,,
HOUSE_3,1249,11/19/2017,127,5926.05,3,,,
HOUSE_3,1275,12/18/2017,126,,3,,,
HOUSE_3,1302,1/13/2018,187,,3,,,
HOUSE_3,1339,2/15/2018,126,,3,,,
HOUSE_3,1376,3/18/2018,127,,3,,,
HOUSE_3,1411,4/21/2018,174,,3,,,
HOUSE_3,1444,5/24/2018,173,,3,,,
HOUSE_3,1479,6/19/2018,136,,3,,,
HOUSE_3,1511,7/16/2018,176,,3,,,
HOUSE_3,1534,8/16/2018,181,,3,,,
HOUSE_3,1569,9/19/2018,203,,3,,,
HOUSE_3,1602,10/19/2018,206,,3,,,
HOUSE_3,1605,11/19/2018,224,,3,,,
HOUSE_3,1616,12/20/2018,216,,3,,,
HOUSE_3,1616,1/16/2019,215,,3,,,
HOUSE_3,1624,2/20/2019,212,,3,,,
HOUSE_3,1638,3/21/2019,227,,3,,,
HOUSE_3,1657,4/24/2019,276,,3,,,
HOUSE_3,1664,5/20/2019,241,,3,,,
HOUSE_3,1695,6/24/2019,214,,3,,,
HOUSE_3,1706,7/22/2019,234,,3,,,
HOUSE_3,1732,8/19/2019,274,,3,,,
HOUSE_3,1764,9/19/2019,151,,3,,,
HOUSE_3,1802,10/20/2019,198,,3,,,
HOUSE_3,1843,11/20/2019,202,,3,,,
HOUSE_3,1875,12/21/2019,206,,3,,,
HOUSE_4,1201,1/25/2016,205,,4,,,
HOUSE_4,1214,2/23/2016,251,,4,,,
HOUSE_4,1234,3/28/2016,307,,4,,,
HOUSE_4,1253,5/2/2016,177,,4,,,
HOUSE_4,1270,5/29/2016,250,,4,,,
HOUSE_4,1286,6/24/2016,228,,4,,,
HOUSE_4,1301,7/23/2016,175,,4,,,
HOUSE_4,1318,8/22/2016,256,,4,,,
HOUSE_4,1334,9/17/2016,240,,4,,,
HOUSE_4,1346,10/15/2016,274,,4,,,
HOUSE_4,1364,11/13/2016,123,,4,,,
HOUSE_4,1385,12/16/2016,169,,4,,,
HOUSE_4,1398,1/22/2017,131,,4,,,
HOUSE_4,1415,2/21/2017,165,,4,,,
HOUSE_4,1434,3/20/2017,169,,4,,,
HOUSE_4,1449,4/20/2017,182,,4,,,
HOUSE_4,1473,5/19/2017,342,,4,,,
HOUSE_4,1493,6/19/2017,226,,4,,,
HOUSE_4,1501,7/22/2017,168,,4,,,
HOUSE_4,1507,8/21/2017,160,,4,,,
HOUSE_4,1507,9/15/2017,239,,4,,,
HOUSE_4,28,10/14/2017,307,,4,,,
